D	GATE	SET_ASYNC	SLEEP_B	NOTIFIER_REG	:	Qt	:	Qt+1	Comments
?	?	?	0	?	:	?	:	-	Retain state during sleep
?	?	?	(01)	?	:	?	:	-	Retain state during sleep
*	0	1	1	?	:	?	:	-	
?	?	0	1	?	:	?	:	1	asynchro SET
?	(?0)	?	1	?	:	?	:	-	AB
?	(1X)	?	1	?	:	?	:	-	AB
0	(X1)	1	1	?	:	?	:	0	
1	(X1)	1	1	?	:	?	:	1	
0	(0X)	1	1	?	:	0	:	0	
1	(0X)	1	1	?	:	1	:	1	
(?0)	1	1	1	?	:	?	:	0	
(?1)	1	1	1	?	:	?	:	1	
0	(01)	1	1	?	:	?	:	0	
1	(01)	1	1	?	:	?	:	1	
?	0	(?x)	1	?	:	1	:	1	Reducing pessimism.//AB
*	0	x	1	?	:	1	:	1	Reducing pessimism//AB
(?1)	x	x	1	?	:	1	:	1	Reducing pessimism.//AB
1	x	*	1	?	:	1	:	1	Reducing pessimism.//AB
1	(0x)	x	1	?	:	1	:	1	Reducing pessimism.//AB
1	(?1)	x	1	?	:	?	:	1	Reducing pessimism.
(?1)	1	x	1	?	:	?	:	1	Reducing pessimism.
1	1	(?x)	1	?	:	?	:	1	Reducing pessimism.
?	0	(?1)	1	?	:	?	:	-	ignore edge on clear
0	1	(?1)	1	?	:	?	:	0	
1	1	(?1)	1	?	:	?	:	1	
(?1)	x	1	1	?	:	1	:	1	Reducing pessimism.
(?0)	x	1	1	?	:	0	:	0	Reducing pessimism.
?	?	?	1	*	:	?	:	x	
